searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,query_start_year,query_end_year,query_period,lon,lat
,,,1,3,10,False,2020010200100482,00,2020,2020년  1월,4,목요일,02,야간,20,20시,4817010800,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1052374,1688533,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,36,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,70,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,이마트24편의점 앞,,,,,20200000232003,,,0.0,0.0,,,,,,,,2020000813,,2020,2022,2020~2022,128.07528617703943,35.19074675613864
,,,1,3,10,False,2020010500100358,00,2020,2020년  1월,7,일요일,02,야간,19,19시,4817011700,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1053652,1688635,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,28,21-30세,1,남,500,보행자,500,보행자,200,부상,210,중상,73,65세 이상,1,남,00,상해없음,13,우측 하퇴부,없음,01, 건조,김가네 앞 도로상 김가네 앞 도로상,,,,,20200000452003,,,0.0,0.0,,,,,,,,2020002348,,2020,2022,2020~2022,128.08932996519508,35.191598962694265
,,,1,3,10,False,2020011100100103,00,2020,2020년  1월,6,토요일,01,주간,08,08시,4817011300,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1051978,1688968,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,40,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,80,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,경상남도 진주시 진주대로1208번길 5 부용탕 앞 노상,,,,,20200001112003,,,0.0,0.0,,,,,,,,2020005620,,2020,2022,2020~2022,128.0709640707504,35.19468960668468
,,,1,3,10,False,2020011500100333,00,2020,2020년  1월,3,수요일,01,주간,15,15시,4817011900,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1055008,1687289,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,56,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,76,65세 이상,1,남,00,상해없음,19,좌측 하퇴부,없음,01, 건조,부경공인중개사 앞 도로,,107,0,동진로,20200001532003,,,0.0,0.0,,,,,,,,2020007919,,2020,2022,2020~2022,128.10413412689377,35.17938913962692
,,,1,3,10,False,2020012500100034,00,2020,2020년  1월,6,토요일,02,야간,04,04시,4817012500,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1051489,1686257,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,31,31-40세,1,남,500,보행자,500,보행자,200,부상,220,경상,74,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조,미스터포차 앞,,,,,20200003282003,,,0.0,0.0,,,,,,,,2020013791,,2020,2022,2020~2022,128.06542344719207,35.17027045959754
,,,1,3,10,False,2020012800100311,00,2020,2020년  1월,2,화요일,01,주간,15,15시,4817012000,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1056521,1688354,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,35,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,73,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조,,,,,,20200003222003,,,0.0,0.0,,,,,,,,2020015180,,2020,2022,2020~2022,128.12082305958694,35.18890783995155
,,,1,3,10,False,2020021200100550,00,2020,2020년  2월,3,수요일,02,야간,20,20시,4817033028,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1062519,1676511,02,흐림,120,교차로 - 교차로부근,N,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,33,31-40세,1,남,500,보행자,500,보행자,100,사망,100,사망,68,65세 이상,1,남,00,상해없음,05,뒷면 머리,없음,02, 젖음/습기,경상남도 진주시 죽곡길 7 금곡죽곡길 밀알영농앞도로,,,,,20200004802003,,,0.0,0.0,,,,,,,,2020023793,,2020,2022,2020~2022,128.1858046357083,35.08176872166809
,,,1,3,10,False,2020021400100430,00,2020,2020년  2월,5,금요일,01,주간,17,17시,4817010100,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1053198,1688202,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,140,특수,300,상해없음,300,상해없음,40,31-40세,1,남,500,보행자,500,보행자,200,부상,210,중상,85,65세 이상,2,여,00,상해없음,15,좌측 어깨,없음,01, 건조,천수밀면 앞 도로,,,,,20200005142003,,,0.0,0.0,,,,,,,,2020024921,,2020,2022,2020~2022,128.08431536996235,35.187718900588266
,,,1,3,10,False,2020022800100463,00,2020,2020년  2월,5,금요일,02,야간,23,23시,4817012000,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1055802,1689053,02,흐림,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,55,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,77,65세 이상,1,남,00,상해없음,18,좌측 대퇴부,없음,01, 건조,에덴유치원 옆 도로,,,,,20200006772003,,,0.0,0.0,,,,,,,,2020032832,,2020,2022,2020~2022,128.112973352513,35.19525069462974
,,,1,3,10,False,2020031100100220,00,2020,2020년  3월,3,수요일,01,주간,13,13시,4817011300,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1052182,1688982,01,맑음,115,교차로 - 교차로횡단보도내,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,79,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,82,65세 이상,1,남,00,상해없음,19,좌측 하퇴부,없음,01, 건조,가온치과 앞 (장터슈퍼 맞은편),,107,0,진주대로,20200008802003,,,0.0,0.0,,,,,,,,2020037842,,2020,2022,2020~2022,128.07320574189347,35.19480525473185
